id,churn,treatment,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21
19,1,1,.94823974,-1.0579802,-.7726447,-.094221108,-1.0741172,-.40860412,-.30708796,-.098108366,-.18924399,-.94123155,-1.3515767,.63331473,-.39654183,0,0,0,1,0
20,1,0,-.53460008,-1.549106,-.85162568,-.3337858,-.7200458,-.24071449,-.27432415,-.099664807,-.46749806,-.58120471,-.14765504,-.13884987,.01460014,0,0,0,0,0
21,1,1,-.50632733,-.10455717,-.218014,-.085569263,1.1294727,-.92636842,.12736638,-.42613474,-.019287482,1.9296051,.1085082,-1.5664221,-.089814067,0,0,0,0,0
22,0,1,-.2218218,.29261744,.87872076,-.027234072,1.6056874,-.2373728,1.3850076,-.56867725,-.25103456,.66273618,-.71264029,1.4824731,-.34906644,0,0,0,0,0
23,0,0,-.35868609,.81417108,-.14996807,-.01188485,-.22653116,-1.0813261,1.064056,-.61003894,-.2864323,.12705249,.085763015,-1.3280337,-.086877652,0,0,1,0,0
24,1,0,-.1195221,-4.2871227,.2250381,-.19503775,-.39434788,-1.2058146,-.076483518,-.1421354,-.15942945,.25145,.28580785,-1.6172571,-.55421609,0,0,0,0,0
25,1,0,-.37692997,-.09554217,3.0029256,-.03010748,.0055506723,.51190704,-.62714624,-.43933809,-.43572891,.64901197,.83294338,-.23220681,-.26616547,0,0,0,0,0
26,0,0,-.4371461,-.20256758,.59174031,-.25446042,.64658642,.13839406,-.1786437,-.20137456,-.22629075,1.6765634,-.70467252,-.50408673,-.38784459,0,0,0,0,1
27,0,1,-.22555675,.6334213,-.041999359,-.25910959,1.994959,-.72253615,.01525835,1.3437899,.52801543,-.2885147,1.9810451,.78189969,-.52579677,0,0,0,0,1
28,1,1,-.084474489,-1.5016935,-.22944984,-.30927336,-.96154982,.084689684,-.28044835,-.048930075,-.51805228,-.61930251,-.043714136,-.34714183,2.0044968,0,0,0,0,0
29,0,0,-.18811984,-.68607807,-.098883867,-.072867885,-.26685223,-.65525168,-.10762075,-.49088562,-.49678168,-1.4181467,-.0028737788,.023093265,-.58568674,0,0,1,0,0
30,1,1,-.1593702,-.68133813,1.3819002,-.13472646,.036025178,1.4202632,-.46380106,-.13067292,-.44555753,.70967573,-.79962671,-.88987803,-.15599209,0,0,0,0,0
31,1,0,2.2415276,-.62375629,-.31054601,-.30628577,-.14947058,2.1495421,-.32286358,-.38802484,-.10398698,-1.1738304,.53767425,-.14113326,-.41554227,0,0,0,0,0
32,0,1,-.11211288,-.9166131,-.1425629,-.14856179,-.73770946,-.6312995,-.35368094,-.18353584,-.061720446,.12626399,1.2366297,.050812248,-.019762326,0,0,0,0,0
33,1,0,-.32657951,-1.7850245,-.20244128,.0013153248,-.78565127,4.4259152,-.64819074,-.19620717,-.21055104,.76217949,-.66745472,-.13969111,-.54675603,0,0,0,0,0
34,1,1,-.15155622,-.20509742,2.4668381,-.26397103,1.4202024,.52612454,-.058298606,-.10285116,-.15562321,2.2703552,.16010629,-1.600982,-.59458762,0,0,0,0,0
35,0,1,-.40916213,-.91615349,-.83247948,-.20839426,-.27346155,-.19978043,-.50292754,-.062955603,-.21912436,.1655641,-.044619519,.79908061,-.035882834,0,0,1,0,0
36,0,0,-.48587069,-.12572014,.092383891,-.33507061,.76062167,-.53170091,2.2635763,-.23887034,-.21532199,1.4576675,1.2506905,-.037134036,-.051731106,0,0,0,0,0
37,1,1,-.38158444,.061404075,-.37624854,-.024438944,-.0055405935,-.1499895,-.080836959,-.01161722,.88792628,1.4410529,.42858231,1.0039814,-.35335839,1,0,0,0,0
38,0,0,-.4167929,.093044445,-.46661949,-.084448665,.043253995,-.082946554,-.5079264,-.029377498,-.46370414,-.82655078,-1.2560499,.065929584,-.024834702,0,0,1,0,0
39,1,0,.19373003,-.76017314,-.61347848,-.049399223,-.041702162,-.58496654,-.62808174,-.46615827,-.06485793,-1.0422549,-.68680614,.86407751,-.22558956,0,0,0,0,0
40,0,1,-.23710121,.195253,-.11014732,-.04729715,.12308466,-.94586754,.68294698,.37790933,-.29959887,.49654779,1.5054076,.095271066,-.52084959,0,0,0,0,0
41,0,0,-.5136587,.3078959,-.051813688,-.33667934,-.75629139,-.92090684,1.3591926,1.2555991,-.16384402,1.3411769,.44446996,.0043279063,-.57673949,0,0,0,0,0
42,0,1,.44536969,.051586166,.074497737,-.32982776,.076462932,-.28683662,-.026434151,-.54894495,.00058438163,-.14254126,1.4170557,.07292062,-.5867359,0,0,0,0,0
43,1,1,-.3117075,2.9658902,-.62654901,-.14487456,-.14308596,1.2081834,-.21307807,-.45041665,-.4071435,.25622714,.32744825,2.0699751,-.044142306,0,0,0,0,1
44,1,0,-.31160799,.0735863,-.33233404,-.27594858,-.58442509,-1.2637125,-.24672447,-.18408054,2.8251033,-.81715328,-1.2358551,.87541914,-.28449953,0,0,0,0,0
45,1,1,-.055967979,-.89491785,2.9830077,-.30037868,-.18138045,2.6765563,-.43427101,-.50023305,-.326177,.60433924,-1.8900616,-1.2522075,-.22796717,0,0,0,0,0
46,0,0,-.2331821,1.0533428,-.28760171,-.0026738758,-.27065411,-.75360906,1.5728252,-.1686618,-.45560762,.47653353,-1.4604474,-1.0649413,-.35480124,1,0,0,0,0
47,0,1,1.8992391,-.98345041,-.19137329,-.33601347,-.65922683,.062189408,-.13623956,-.11641094,-.14341402,-1.5546319,-.6803605,-.078383692,-.26421395,0,0,0,0,0
48,1,0,.26260325,-.025027102,-.37566108,-.097173341,-.28737187,.090411171,-.055974245,-.38159242,-.47303343,-.45342863,-.062870033,.30923253,3.4253352,0,0,0,0,0
49,0,1,-.18014202,.3032437,-.65292102,1.2425537,-1.0482377,.8118248,-.54417795,-.010738746,-.20629478,.92520249,-1.1397319,-.054226469,-.44348839,1,0,0,0,0
50,1,1,-.21300147,-.88590926,-.41994369,-.0093786437,-.33231464,.31456229,-.68416536,-.61558276,-.025750488,-.4495368,-.24780092,-.75420678,-.43117183,0,0,0,0,1
51,1,0,-.21154156,-1.5830582,-.35481447,-.22553013,-.33420396,.73330212,-.27979749,-.026283525,-.32906589,-.92340803,.6019029,1.4612255,-.35711014,0,0,1,0,0
52,0,0,-.11879642,.77559161,-.55464798,-.1420846,-.12329124,-.81014699,.16218713,-.51923913,-.16949515,.71698791,-.39014003,.50215441,-.029965408,1,0,0,0,0
53,1,1,-.040112462,-.39101228,-.28100723,-.16476183,-.99330109,1.7797781,-.43962643,-.28282553,-.36062658,.95263278,-.14382677,.18647139,-.50821036,0,0,1,1,0
54,0,0,-.12026682,1.2014844,.1275139,2.5050828,-.17260721,-.1335668,.027079158,.014993111,2.6824255,-.73429561,-.44701892,.49006519,-.59315562,0,0,0,0,0
55,1,0,-.11837392,-.939677,-.7512157,-.042652793,-.44693688,-.40369231,1.9060484,.024155935,-.068899535,.73784477,.39187902,.18488909,-.55825067,0,0,0,0,0
56,0,1,-.32921201,-.40773252,-.044893857,-.11699036,-.21173124,-.73583692,.12453219,-.51924664,-.1643742,-.51582479,-.12598659,.21417376,-.22810546,0,0,0,0,0
57,0,0,-.1644654,1.6854783,-.69811392,-.078566954,-.23604244,-1.0837535,-.67652506,-.25750026,-.067211151,1.6682506,.95259696,.12022708,4.3786764,0,0,0,0,0
58,1,1,-.54224998,.69357014,-.45159125,-.19941406,-1.0371504,-.39236727,-.35260308,-.60018688,5.4810343,-.92150468,-.17114805,.32344159,-.43467575,0,0,0,1,0
59,1,0,-.13688441,-.24765569,-.81276762,-.25458428,.013556881,2.195374,-.48338547,-.042534206,-.27807808,.18914588,.9394325,.30046621,1.4147042,0,0,0,0,0
60,0,1,-.047443621,.079191051,-.14570867,-.2557722,.038465731,-.72438097,1.678594,-.31249729,-.15691137,.34200117,.4966473,.50518829,-.45509803,0,0,0,0,0
61,0,0,-.18833059,.39520428,-.50079632,-.32418412,-.29660964,-1.086156,-.037163835,-.015156909,-.20315321,1.3128465,-1.215045,.30122,-.050652929,0,0,0,1,0
62,1,0,2.2227063,.83616489,-.66994655,-.32010376,-.081772313,-.48004505,-.39490619,-.50081015,-.074260876,-1.6303089,-.10646463,-.078241862,-.23950335,1,0,0,0,0
63,1,1,-.50142896,-.69109738,.26891565,-.01018705,-.46349278,-1.0649883,-.17297965,-.11256608,-.30957326,-.43705541,-.64638484,-1.6581713,-.11331837,0,0,0,0,0
64,0,1,.51148498,-.17455751,-.32791716,-.075369485,-.27376762,-.25081193,-.20376964,-.28240055,-.088085324,-1.2731314,-.17674465,-.065318823,-.41789606,0,0,0,0,0
65,1,1,.82833672,-.3277292,-.08256191,-.0029155184,-.90739882,1.7083549,-.63185364,-.20461582,-.091139346,-.1922688,-1.7269565,-.69369137,-.025691148,0,0,0,1,0
66,0,0,-.037021749,-.17228177,-.25457507,-.034882445,-.053949334,-.55577904,2.1585088,1.659194,-.24365294,1.4167681,.9970724,.43102828,-.29676101,0,0,1,0,0
67,1,0,-.049162444,-.037323091,-.33267111,-.010409833,-.71004361,.01032542,.0083891181,-.53027302,-.41838619,-1.1199453,-1.5236495,-1.4458169,-.40746239,0,0,0,0,0
68,0,1,-.16235264,.91929108,-.81630218,-.15684533,.12151823,-.33014625,-.3156656,-.16428971,-.032124747,-.68149078,.20333584,.028579516,-.57906461,0,0,0,0,0
69,1,0,-.58692253,-.29489145,.06408491,-.087326907,-.42971539,-1.0907912,-.54954356,-.24669941,-.34364563,.32037091,.10552626,1.4124707,-.10030575,0,0,0,0,0
70,0,1,-.27913743,.5708636,-.092905328,-.2991164,-.30629894,-.041338313,-.25708297,-.59873992,-.090621166,.2591944,-1.5008675,-1.2186065,-.020289373,0,0,0,0,0
71,1,1,-.28490981,-1.534328,-.38955575,-.11818618,-.58211464,-.19132854,-.15472503,3.8922966,-.038555693,-1.3260046,.76832485,1.1748995,-.45155019,0,0,0,0,1
72,0,0,-.096307114,.93256795,.2530044,-.28456417,.0021668891,-.23228922,-.14219908,-.16538255,-.5276767,-.89519352,-.27088526,-.65000319,-.59310973,0,0,0,0,0
73,0,0,-.35058808,-1.1644346,-.3129552,.011291889,-.413807,1.1626422,-.61766618,-.591654,-.42209861,-1.6275964,-.05203902,1.0074186,-.15902951,0,0,1,0,0
74,1,0,-.40706927,-2.3575439,-.60709983,-.071315996,-.22763897,1.054076,-.027540738,-.54957694,-.36727634,.96591431,-1.6427028,-.15242673,-.092234768,0,0,0,0,0
75,1,1,-.16581623,.012928966,-.055571906,-.19099241,-.38759845,1.0240356,-.43773216,-.38880146,-.2931571,-.99435455,.20413242,-.083846539,-.22574748,0,0,0,0,0
76,0,1,-.10651395,.058491044,-.5074144,-.26368499,.016761879,-.74486166,-.08094126,-.18289964,1.0297781,-.94728261,-1.4294119,3.1145642,-.32397255,0,1,0,0,0
77,0,0,-.25906312,2.1442609,.14071289,-.20304283,.63658613,-1.2599323,-.056574643,.82448256,1.5575092,1.3555011,.010512741,2.0291827,-.49942797,0,0,0,0,0
78,0,1,2.0365372,2.1742818,-.75280762,1.185967,.56671149,-.8369903,-.64771867,-.33393586,-.50782925,-1.3606708,.76359814,-.11131327,-.50225466,0,0,0,0,1
79,1,1,-.026133571,.064088196,-.40324083,.002478766,-.20010501,-.92505097,-.21922545,-.20227377,-.28346854,-.025388394,-.052779946,.0089511368,-.31674722,0,0,0,1,0
80,1,0,-.42280328,-1.0529907,-.25475508,-.30460733,-.22749577,-.51433516,-.051289722,-.5611521,-.10004401,-.1722064,-1.0226485,-.78791064,-.51594412,0,0,0,0,0
81,1,1,-.60333562,-.072605975,-.18133868,-.15591474,-.97176111,.090810925,-.12076794,-.46571839,-.18532766,-.81958306,-.085134052,2.2509434,-.51954657,0,0,0,1,0
82,0,1,-.19686584,1.712438,.018981973,-.082419835,.20333064,-.32326737,-.15085253,-.39567381,-.23305009,2.7176213,.65652901,-.49396858,.014928447,0,0,0,0,0
83,0,0,-.30016789,.10329763,-.50491363,-.30753386,.64676243,-.97648811,-.47362146,-.50187087,-.43848833,-.99639595,.1053413,.79056823,-.28586975,0,0,1,0,0
84,1,0,.0091286916,-1.0439268,1.4180086,-.006549872,.081511468,1.4368107,-.48421189,-.44715881,.013062592,-.33947393,-.12493689,-.16559403,-.42006177,0,0,0,0,0
85,1,0,-.13476385,-.53877127,-.41693953,-.18272901,-.8263222,2.2651794,-.2426406,-.49011117,-.32214233,-.76944906,-.68444473,.49953765,-.059069656,0,0,0,0,0
86,0,1,-.19742857,.16026619,-.11748257,-.056673944,-.65828091,-1.1677284,-.059333485,-.5860725,-.18995388,.57479292,.39966783,.014368417,1.5180846,0,0,0,0,1
87,1,1,-.15569569,-1.8274133,4.7090015,-.048391547,1.2022055,1.6230991,-.13711159,-.25928316,-.33816621,1.3080918,.59302002,-1.037304,-.51731336,0,0,0,0,0
88,0,0,-.37414873,-.12032796,-.53068894,-.20965463,.21037017,-1.2334917,1.5022751,-.53112847,-.13092795,.17748919,.075864375,.25919425,-.036417015,0,1,0,0,0
89,1,1,-.27119592,.057786271,-.10058842,-.024335086,-.34387246,-.76260448,.23044255,-.5784061,-.4605101,.91766697,.075995594,1.2035073,-.1666768,0,0,0,0,0
90,1,0,-.14470994,-2.1742659,-.32673517,-.14226539,-.79435474,-.064120471,-.57513112,-.16778857,-.26135713,-.16360933,.040031794,-1.5501053,-.19703242,0,0,1,0,0
91,0,0,.66148037,-.39884138,-.46113861,-.32227963,-.094557464,.79194981,-.2009352,-.34040594,-.033654805,-.39271978,.14682665,-.53981119,-.56902748,0,0,0,0,0
92,0,1,-.026020624,-.073760234,-.17608653,-.046290264,-.48961398,1.4288729,-.28600898,-.57153583,-.5177471,.67268521,-.1078172,-1.5172191,-.19234402,0,0,0,0,1
93,1,0,-.081363909,-.12255468,-.11247209,-.015532249,1.2891504,.42937213,-.4143762,-.051556259,-.095933326,1.4412675,.23403929,-1.2816236,-.39997688,0,0,0,0,0
94,0,0,-.21580634,-.11586877,-.27164444,-.13301152,-.11450961,-.066438101,-.25300422,-.42264321,-.1048174,.93788582,.13140693,.37507898,-.01975685,0,0,1,0,0
95,1,1,-.51551163,-.069097333,1.1593332,-.25985023,.39877829,.54698521,-.63846552,-.3557474,-.25377348,.082227938,-.31881079,-1.6650901,-.25970668,0,0,0,0,0
96,0,1,-.26100281,.27833062,-.49682319,-.15542912,.45315534,-.085695148,-.18490574,-.20439927,-.21102397,-.62122554,-1.1861005,.30318671,-.31847674,0,1,0,0,0
97,1,0,-.11245339,-.75871789,-.80803663,-.30980316,-.3932676,1.994777,-.033055406,-.35220578,-.049568977,.032543972,-.88675505,-.36120445,-.31021968,0,0,0,0,0
98,0,1,-.22901203,-.64360452,.26863578,-.26993141,-.23807226,-1.0679582,-.58781743,-.54258293,-.11916317,-1.4590015,-.56593519,.27391148,-.13045278,0,0,0,0,0
99,0,0,5.9782987,-1.4888976,-.32864299,-.28383633,.036664646,.53685284,-.01242581,-.47781783,-.36130926,-.70220983,-.12680729,1.0234808,-.0004626548,0,0,0,0,0
100,1,1,-.14260074,.054681946,-.18239969,.015928173,-.12398565,1.0583445,.012110848,-.56824416,-.070284925,1.7556647,.46158829,-1.4092165,-.44501486,0,0,0,0,1
101,0,1,-.092929736,1.1291318,-.36732158,-.2959401,-.48002395,-.61556393,-.24818544,-.13525894,-.10068956,-.21084253,-.39363328,.27002776,.013551233,0,0,0,0,0
102,0,0,-.34488758,1.4271512,-.47770289,-.14376175,.34527192,-1.0559936,.42044175,-.4531804,-.13763858,.48701808,1.732173,.056807462,-.55819517,0,1,0,0,0
103,1,0,-.33173344,-1.3203459,-.77796447,-.2347293,-.16514482,.013004055,-.33308399,-.213192,-.51774985,-.77691436,-.16887134,-.27107695,-.26237428,0,0,0,1,0
104,1,1,-.61492521,.31231672,-.59772968,-.2381189,-.66863251,-.10789093,1.0119393,-.02050454,-.1420735,1.3585296,2.7427411,.32922491,-.39606926,0,0,0,0,0
105,1,1,5.4172974,-1.0819042,-.093254298,-.12724343,-.29445577,.011883206,-.6177243,-.3777034,-.047841132,-1.1306355,-1.7368511,.1305057,-.24304159,1,0,0,0,0
106,0,1,-.063022666,.27584401,-.14880781,-.11236614,.42548832,-.19391418,3.0111535,.72344607,-.13972831,.66284955,1.0869532,.18879345,-.49512476,0,0,0,0,1
107,0,0,-.36501372,.48808786,.30552331,-.20347692,.3236357,-.36692452,-.28536734,-.60663629,3.8066959,.51073289,-.76936013,.02624125,-.31250289,0,0,0,0,0
108,1,0,-.26479539,-1.0189312,-.7568258,.019728357,-.83692271,-.91299307,-.54194319,-.28154105,-.47551104,-.29655215,-1.495219,.6065861,-.36913761,0,0,0,0,0
109,1,0,3.9663897,.032766275,.092191882,-.26025701,-.31062725,-.32502341,-.047864687,-.21732278,-.16776954,-.86241263,-.24419741,1.2158368,-.21051747,0,0,0,0,0
110,1,1,-.19689387,-1.2055621,1.3412131,-.10363018,1.219276,2.0069313,-.43802419,-.15032806,-.46963289,1.8465086,.39055637,-1.0581964,-.20019954,0,0,0,0,0
111,0,0,3.1320546,-.18123928,.1707833,-.26795888,-.31902972,.24606805,-.65496564,-.22469924,-.19444847,-.84607184,-.020886755,-.38149181,-.55384219,0,0,0,0,0
112,0,1,-.05883291,-.46358117,-.13518231,-.2986488,-.036504347,1.6974621,-.21920018,-.12198637,-.018764507,-.96131659,-.22971849,-.6056332,-.16302469,0,0,0,0,0
113,1,1,-.025973309,-1.3362278,-.40919918,-.24000768,-.79081154,2.1309791,-.47499824,-.16081265,-.2911754,-.78817946,-1.776616,-.89756668,-.57432765,0,0,0,0,0
114,1,0,-.47337049,.23899595,-.086832315,-.17498316,-.3503108,-1.1419864,-.50210762,-.40688777,1.8498108,-.2645539,-.38003126,.11521025,-.27817854,0,0,0,0,0
115,0,0,-.26751283,1.1299928,-.10191672,-.2365368,1.4949982,-1.044624,-.084514797,-.33609056,3.9395576,-1.0329899,.00659145,.58665037,4.7013931,0,0,0,0,0
116,0,1,-.23365933,.19553369,.026024226,-.085051574,-.053812452,-1.0213176,.36490121,-.41515598,3.7866499,1.2783443,-.12399711,1.5311029,-.61955738,0,0,0,0,0
117,1,0,.12914433,-.38210544,2.4347768,-.28651193,-.046478048,-.0081168348,-.31401742,-.050484914,-.51449686,.27234259,-.17741753,.73903906,-.068752155,0,0,0,0,0
118,0,1,-.35499164,-.49947473,-.22801414,-.12875344,-.2176006,-.26564735,-.49182832,-.58034408,-.029347062,.60916477,1.6286813,.493498,-.3376427,0,0,0,0,0
119,1,1,-.31976357,.021227702,-.75630629,-.14698753,.24807122,1.2089807,-.25971618,-.045806747,-.49856859,-1.0469403,-.70287389,-.12597519,-.38084862,0,0,0,0,0
120,0,0,-.35287252,-1.2256496,-.75227451,-.098062679,-.43438071,-.41040093,.0072042174,-.28024912,-.2400188,-.0039563174,-1.8098496,-1.2883868,-.46675223,0,0,0,0,0
121,1,1,-.33092979,-.58490944,.052649859,-.11329248,-.16974378,-.37772629,-.15771146,-.03581113,-.43181539,-.3054176,-.18719319,-.19694978,-.40153474,0,0,0,0,0
122,1,0,-.14981093,.90984619,-.61325556,-.098092489,.24328794,-.0027400677,-.2359761,-.4778353,-.22255073,-1.1889803,-.051432569,2.2917812,-.16902705,1,0,0,0,0
123,0,1,.61624622,-.031976972,-.47856504,-.19578992,-.019459322,1.7080612,-.35641238,-.12714049,-.19906926,-1.482911,-1.8946816,.42296532,3.4802713,0,0,0,0,0
124,0,0,-.18815267,.88491708,-.47088829,-.32189965,-.18859605,-.80304223,.095089175,-.007790986,.083985433,.18720354,1.7742798,.91463393,-.53259373,0,1,0,0,0
125,0,0,-.11344272,1.263867,-.04830293,-.022644022,.0035497444,-.78677368,.020820608,-.15090764,-.44231874,-.19466752,-.052442078,.021906206,-.57503271,0,0,0,1,0
126,1,0,-.021180043,-1.3348255,1.4134095,-.071168147,.25138187,1.1435766,-.06656763,-.47153017,-.176845,.54071808,-.050997999,-.12383202,-.214715,0,0,0,0,0
127,0,1,-.51953411,.53649169,.67564875,-.24080038,.23533171,-.47264084,6.4397502,-.12971978,-.22814827,1.0787719,-.14998937,-1.6570921,-.29690978,0,0,0,0,0
128,1,1,-.53743702,-1.7274998,.1833166,-.15070312,.79893118,.10472967,.0169558,-.36698288,-.20816581,1.8625046,.44382966,1.4467461,-.17484002,0,0,0,0,0
129,0,0,-.58777696,.17578328,-.77594805,-.17322728,.036201734,-.0596359,-.29904681,-.31540743,-.23643863,-1.587919,.15042855,.28300115,-.37434748,0,0,0,0,1
130,0,1,-.068258375,.20693704,-.2705363,-.00063722662,-.58232975,-.94568193,-.43344489,-.39248648,.010250572,-1.5227789,.56811404,-.69538146,.32100177,0,0,0,0,0
131,1,1,-.047704127,.57404584,-.60478908,-.1935305,-.22813749,-.061479855,-.49504942,1.8108712,-.2172986,-.40416676,1.0705552,-.76106924,-.17356728,1,0,0,0,0
132,1,0,-.059546247,-.33200979,2.9868286,-.18857932,1.0628606,1.5824391,-.28590259,-.23244512,-.29328081,1.1345142,-.72435033,-1.2630837,-.37959352,0,0,0,0,1
133,0,0,-.16193025,.26491281,3.310216,-.050870612,1.1718606,-.083599821,.80095726,-.028622495,-.40740484,2.0260758,.72201741,-.27398765,.013655911,0,0,0,0,0
134,1,1,-.24511938,.38922277,-.65238231,-.21170783,-.081367634,-1.3269929,.16059648,-.32909909,-.19009951,1.6150469,.58170545,-1.3962604,-.000033418946,0,0,0,0,0
135,0,1,-.34719136,.27571458,-.13205023,-.15493323,-.77357221,-.084044144,-.66964757,-.46500719,-.25804779,-1.5617118,-.55834275,-.76893049,-.56227732,0,0,1,0,0
136,1,0,-.39178118,-2.7961483,.85115194,-.19374111,-.34569493,.54401988,-.63101858,-.35305715,-.30359453,-.19279659,-.75508457,-.1692221,-.40516591,0,0,0,0,0
137,0,1,-.13974331,1.7926426,.29861891,-.1125553,.063121751,-.76768863,-.67225659,-.56933886,-.043110147,.89785761,-.31716201,-.45730305,-.25895977,0,0,0,0,0
138,1,1,5.5924621,-2.3824289,-.20945399,.0080319913,-1.0185925,1.6433454,-.27110434,-.48884809,-.14367469,-.62767619,-1.4090379,1.2551161,1.1152823,0,0,0,0,0
139,1,0,-.44658718,1.1403394,-.092194669,-.30118167,-.97826552,-.32020459,-.62662423,-.088312924,-.0014887525,-1.3598859,-1.4572971,-.79183882,-.5731172,0,0,0,0,0
140,0,0,-.095276266,.33768487,-.11429348,.011458063,-.030764023,-.28054246,-.46012029,-.35593137,-.49758071,.11526946,.081105456,-1.3379729,.00062094821,0,1,0,0,1
141,1,0,-.11397799,-.18826242,.40162995,-.013444303,.27020383,.18291284,-.071194202,-.24471846,-.38687196,.43982902,-.80549884,.02662128,-.088894777,0,0,0,0,0
142,0,1,-.11270759,-.24314219,2.9452746,-.21758679,1.3692143,-1.1410242,.029135747,-.25571659,-.46116787,-.11907847,-.16727507,.29532111,-.61920655,0,0,0,0,0
143,0,0,-.31681669,.053813059,.088846296,-.021570696,-.081211157,-1.2398026,-.6744532,-.27426293,-.33633059,-.59638196,-1.2821611,1.0226278,-.36033782,0,0,0,0,0
144,1,1,-.39670381,-.072471805,-.36584589,-.078591824,-.98909205,.087148421,-.66926187,-.21986862,-.44848469,-.48515403,.72941869,-1.5979226,2.1423271,0,0,0,0,0
145,0,1,-.34693637,-.22344713,.36314538,-.063677326,.10213777,-.095317021,5.2362385,-.50415474,-.38242561,1.1646606,-.075275138,-1.6711813,-.3147999,0,0,0,0,0
146,0,0,-.52128452,.60402489,-.29498503,-.11937056,-.19299768,-.44786039,-.59155411,-.39590934,-.18790458,.029444415,-1.4382936,-.31084639,-.39109117,0,1,0,0,0
147,1,0,-.2521981,-.48698387,-.66385293,-.21329421,-.35187957,-.15792091,-.015600465,-.25761443,-.33779228,-1.0157764,-1.1263802,.014309075,-.3778578,0,0,0,0,0
148,1,1,-.09699934,.45956507,-.3369635,-.23864433,1.0521874,-.16191696,1.6623771,2.2118552,2.1773655,1.4973511,.55862576,3.7955089,-.1111735,0,0,0,1,0
149,1,0,-.21368134,-1.8651786,-.79393822,.0046728845,-.28469455,-.29257828,-.22390556,2.0463414,.15054968,-.091599852,-.54292375,.23977794,-.23785028,0,0,1,0,0
150,0,0,-.4206737,1.8463343,3.6698909,7.0906668,.42530262,-.77234679,.89602023,-.51410627,.98933607,.33919924,-1.681121,.020671535,-.59708661,0,0,0,0,0
